Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
39206656,6217404,19766,1152669,"R13.3 - Creation of predictive models worldwide, applying pre-learned models in different areas of the world",1152671,R13.5 - Augmented Reality and Conversational Agents to improve Environmental education,43197170,48104239,1152671,1152669,2020-11-30 18:58:53 UTC,2020-11-30 18:58:53 UTC,10.229,"",FALSE,a4823ac651c8ade23724f313d4d1863e,SDG13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
39800611,6243674,19766,1152670,"R13.4 - AI to optimize urban traffic, thereby reducing pollution, through improvements in traffic signs",1152668,R13.2 - IoT sensor technologies to allow AI to make predictions of natural disasters in real time,43197169,48753442,1152670,1152668,2020-12-19 13:32:51 UTC,2020-12-19 13:32:51 UTC,53.469,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800612,6243674,19766,1152671,R13.5 - Augmented Reality and Conversational Agents to improve Environmental education,1152667,R13.1 - Improve Natural Disaster Prediction Using Advanced AI Models,43197172,48753444,1152671,1152667,2020-12-19 13:32:58 UTC,2020-12-19 13:32:58 UTC,5.495,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800613,6243674,19766,1152668,R13.2 - IoT sensor technologies to allow AI to make predictions of natural disasters in real time,1152669,"R13.3 - Creation of predictive models worldwide, applying pre-learned models in different areas of the world",43197171,48753445,1152669,1152668,2020-12-19 13:33:04 UTC,2020-12-19 13:33:04 UTC,6.188,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800614,6243674,19766,1152671,R13.5 - Augmented Reality and Conversational Agents to improve Environmental education,1152669,"R13.3 - Creation of predictive models worldwide, applying pre-learned models in different areas of the world",43197173,48753446,1152669,1152671,2020-12-19 13:33:06 UTC,2020-12-19 13:33:06 UTC,1.499,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800615,6243674,19766,1152670,"R13.4 - AI to optimize urban traffic, thereby reducing pollution, through improvements in traffic signs",1152671,R13.5 - Augmented Reality and Conversational Agents to improve Environmental education,43197174,48753447,1152670,1152671,2020-12-19 13:33:11 UTC,2020-12-19 13:33:11 UTC,4.839,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800616,6243674,19766,1152667,R13.1 - Improve Natural Disaster Prediction Using Advanced AI Models,1152669,"R13.3 - Creation of predictive models worldwide, applying pre-learned models in different areas of the world",43197175,48753448,1152667,1152669,2020-12-19 13:33:17 UTC,2020-12-19 13:33:17 UTC,5.882,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800617,6243674,19766,1152670,"R13.4 - AI to optimize urban traffic, thereby reducing pollution, through improvements in traffic signs",1152667,R13.1 - Improve Natural Disaster Prediction Using Advanced AI Models,43197176,48753449,1152667,1152670,2020-12-19 13:33:20 UTC,2020-12-19 13:33:20 UTC,2.978,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800618,6243674,19766,1152668,R13.2 - IoT sensor technologies to allow AI to make predictions of natural disasters in real time,1152669,"R13.3 - Creation of predictive models worldwide, applying pre-learned models in different areas of the world",43197171,48753450,1152669,1152668,2020-12-19 13:33:22 UTC,2020-12-19 13:33:22 UTC,1.399,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800619,6243674,19766,1152671,R13.5 - Augmented Reality and Conversational Agents to improve Environmental education,1152667,R13.1 - Improve Natural Disaster Prediction Using Advanced AI Models,43197166,48753451,1152667,1152671,2020-12-19 13:33:23 UTC,2020-12-19 13:33:23 UTC,1.363,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
