Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
38094975,6174339,19607,1148206,"R3.1 - Predicción y Diagnóstico médico mediante una IA justa, responsable, transparente y ética",1148207,R3.2 - Homogeneización de múltiples fuentes de datos médicos y de salud,43053970,46879729,1148206,1148207,2020-11-24 14:35:41 UTC,2020-11-24 14:35:41 UTC,48.579,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38094976,6174339,19607,1148210,R3.5 - Recomendaciones personalizadas sobre hábitos saludables,1148208,R3.3 - Formación tecnológica del personal sanitario,43053971,46879734,1148208,1148210,2020-11-24 14:35:57 UTC,2020-11-24 14:35:57 UTC,16.373,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38094977,6174339,19607,1148208,R3.3 - Formación tecnológica del personal sanitario,1148207,R3.2 - Homogeneización de múltiples fuentes de datos médicos y de salud,43053968,46879735,1148208,1148207,2020-11-24 14:36:10 UTC,2020-11-24 14:36:10 UTC,12.783,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38094978,6174339,19607,1148206,"R3.1 - Predicción y Diagnóstico médico mediante una IA justa, responsable, transparente y ética",1148207,R3.2 - Homogeneización de múltiples fuentes de datos médicos y de salud,43053970,46879736,1148206,1148207,2020-11-24 14:36:23 UTC,2020-11-24 14:36:23 UTC,11.96,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38094979,6174339,19607,1148209,R3.4 - Territorios Inteligentes para mejorar la Seguridad Sanitaria detectando y controlando enfermedades infecciosas,1148210,R3.5 - Recomendaciones personalizadas sobre hábitos saludables,43053967,46879737,1148210,1148209,2020-11-24 14:36:41 UTC,2020-11-24 14:36:41 UTC,18.204,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38094980,6174339,19607,1148209,R3.4 - Territorios Inteligentes para mejorar la Seguridad Sanitaria detectando y controlando enfermedades infecciosas,1148208,R3.3 - Formación tecnológica del personal sanitario,43053972,46879738,1148208,1148209,2020-11-24 14:37:15 UTC,2020-11-24 14:37:15 UTC,33.599,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38094981,6174339,19607,1148209,R3.4 - Territorios Inteligentes para mejorar la Seguridad Sanitaria detectando y controlando enfermedades infecciosas,1148207,R3.2 - Homogeneización de múltiples fuentes de datos médicos y de salud,43053973,46879739,1148207,1148209,2020-11-24 14:37:27 UTC,2020-11-24 14:37:27 UTC,11.297,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38094982,6174339,19607,1148206,"R3.1 - Predicción y Diagnóstico médico mediante una IA justa, responsable, transparente y ética",1148207,R3.2 - Homogeneización de múltiples fuentes de datos médicos y de salud,43053974,46879740,1148207,1148206,2020-11-24 14:37:30 UTC,2020-11-24 14:37:30 UTC,3.483,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38094983,6174339,19607,1148210,R3.5 - Recomendaciones personalizadas sobre hábitos saludables,1148209,R3.4 - Territorios Inteligentes para mejorar la Seguridad Sanitaria detectando y controlando enfermedades infecciosas,43053967,46879741,1148210,1148209,2020-11-24 14:37:37 UTC,2020-11-24 14:37:37 UTC,6.241,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38096020,6174496,19607,1148207,R3.2 - Homogeneización de múltiples fuentes de datos médicos y de salud,1148208,R3.3 - Formación tecnológica del personal sanitario,43053976,46881027,1148207,1148208,2020-11-24 18:37:40 UTC,2020-11-24 18:37:40 UTC,111.54,"",TRUE,9d63e57eea56871e254db70baf76d65a,ODS3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",http://dasci.es/,FALSE,NA
38096021,6174496,19607,1148208,R3.3 - Formación tecnológica del personal sanitario,1148209,R3.4 - Territorios Inteligentes para mejorar la Seguridad Sanitaria detectando y controlando enfermedades infecciosas,43053972,46881029,1148208,1148209,2020-11-24 18:38:03 UTC,2020-11-24 18:38:03 UTC,22.279,"",TRUE,9d63e57eea56871e254db70baf76d65a,ODS3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",http://dasci.es/,FALSE,NA
38096022,6174496,19607,1148207,R3.2 - Homogeneización de múltiples fuentes de datos médicos y de salud,1148208,R3.3 - Formación tecnológica del personal sanitario,43053976,46881030,1148207,1148208,2020-11-24 18:38:27 UTC,2020-11-24 18:38:27 UTC,24.281,"",TRUE,9d63e57eea56871e254db70baf76d65a,ODS3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",http://dasci.es/,FALSE,NA
38096023,6174496,19607,1148207,R3.2 - Homogeneización de múltiples fuentes de datos médicos y de salud,1148209,R3.4 - Territorios Inteligentes para mejorar la Seguridad Sanitaria detectando y controlando enfermedades infecciosas,43053973,46881031,1148207,1148209,2020-11-24 18:38:49 UTC,2020-11-24 18:38:49 UTC,21.181,"",TRUE,9d63e57eea56871e254db70baf76d65a,ODS3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",http://dasci.es/,FALSE,NA
