Record Type,Skip ID,Appearance ID,Session ID,Wikisurvey ID,Left Choice ID,Left Choice Text,Right Choice ID,Right Choice Text,Prompt ID,Reason,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
Bounce,NA,46448948,6143764,19612,1148266,R7.4 - Sistemas inteligentes y robóticos para la reducción de costes de inspección y mantenimiento de instalaciones energéticas,1148263,R7.1 - Tecnologías de compresión de datos y de computación distribuida para reducir el consumo energético de los centros de almacenamiento y procesado de datos (data centers),43055138,NA,2020-10-26 16:21:30 UTC,2020-10-26 16:21:30 UTC,NA,"",TRUE,a2707e31d6e7862d49313975dff1b17f,ODS7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",REFERRER_NOT_FOUND,FALSE,NA
Skip,2571084,46537987,6153403,19612,1148264,"R7.2 - Modelos de alta fidelidad para la predicción a largo plazo de los recursos de energía renovable (viento, irradiación solar, etc.)",1148266,R7.4 - Sistemas inteligentes y robóticos para la reducción de costes de inspección y mantenimiento de instalaciones energéticas,43055141,like_both,2020-11-05 09:11:14 UTC,2020-11-05 09:11:14 UTC,18.55,"",TRUE,6ddfe54998f187742b3bc9bddafcc347,ODS7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",DIRECT_VISIT,FALSE,NA
Stopped_Voting_Or_Skipping,NA,46538004,6153403,19612,1148264,"R7.2 - Modelos de alta fidelidad para la predicción a largo plazo de los recursos de energía renovable (viento, irradiación solar, etc.)",1148266,R7.4 - Sistemas inteligentes y robóticos para la reducción de costes de inspección y mantenimiento de instalaciones energéticas,43055141,NA,2020-11-05 09:11:14 UTC,2020-11-05 09:11:14 UTC,NA,"",TRUE,6ddfe54998f187742b3bc9bddafcc347,ODS7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",DIRECT_VISIT,FALSE,NA
Bounce,NA,46567914,6157499,19612,1148263,R7.1 - Tecnologías de compresión de datos y de computación distribuida para reducir el consumo energético de los centros de almacenamiento y procesado de datos (data centers),1148265,R7.3 - Tecnología blockchain para la gestión segura de redes eléctricas inteligentes,43055142,NA,2020-11-10 21:02:18 UTC,2020-11-10 21:02:18 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,ODS7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36",REFERRER_NOT_FOUND,FALSE,NA
Stopped_Voting_Or_Skipping,NA,46905568,6177032,19612,1148263,R7.1 - Tecnologías de compresión de datos y de computación distribuida para reducir el consumo energético de los centros de almacenamiento y procesado de datos (data centers),1148266,R7.4 - Sistemas inteligentes y robóticos para la reducción de costes de inspección y mantenimiento de instalaciones energéticas,43055146,NA,2020-11-26 09:14:01 UTC,2020-11-26 09:14:01 UTC,NA,"",TRUE,912803a3a5fee148e0ceefca1a146050,ODS7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",DIRECT_VISIT,FALSE,NA
Bounce,NA,46905644,6177058,19612,1148266,R7.4 - Sistemas inteligentes y robóticos para la reducción de costes de inspección y mantenimiento de instalaciones energéticas,1148265,R7.3 - Tecnología blockchain para la gestión segura de redes eléctricas inteligentes,43055140,NA,2020-11-26 09:42:53 UTC,2020-11-26 09:42:53 UTC,NA,"",TRUE,cf6711860e7f5b3790f0b07f9a91dbfc,ODS7,Mozilla/5.0 (TweetmemeBot/4.0; +http://datasift.com/bot.html) Gecko/20100101 Firefox/31.0,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905656,6177070,19612,1148266,R7.4 - Sistemas inteligentes y robóticos para la reducción de costes de inspección y mantenimiento de instalaciones energéticas,1148265,R7.3 - Tecnología blockchain para la gestión segura de redes eléctricas inteligentes,43055140,NA,2020-11-26 09:42:59 UTC,2020-11-26 09:42:59 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS7,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905657,6177071,19612,1148263,R7.1 - Tecnologías de compresión de datos y de computación distribuida para reducir el consumo energético de los centros de almacenamiento y procesado de datos (data centers),1148267,R7.5 - Blockchain para el control de la trazabilidad y un mejor seguimiento de flujos financieros para inversión en energías limpias y renovables en países en vías de desarrollo,43055144,NA,2020-11-26 09:43:01 UTC,2020-11-26 09:43:01 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS7,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905684,6177098,19612,1148266,R7.4 - Sistemas inteligentes y robóticos para la reducción de costes de inspección y mantenimiento de instalaciones energéticas,1148265,R7.3 - Tecnología blockchain para la gestión segura de redes eléctricas inteligentes,43055140,NA,2020-11-26 09:43:21 UTC,2020-11-26 09:43:21 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS7,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905701,6177115,19612,1148266,R7.4 - Sistemas inteligentes y robóticos para la reducción de costes de inspección y mantenimiento de instalaciones energéticas,1148264,"R7.2 - Modelos de alta fidelidad para la predicción a largo plazo de los recursos de energía renovable (viento, irradiación solar, etc.)",43055139,NA,2020-11-26 09:43:30 UTC,2020-11-26 09:43:30 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS7,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905724,6177138,19612,1148264,"R7.2 - Modelos de alta fidelidad para la predicción a largo plazo de los recursos de energía renovable (viento, irradiación solar, etc.)",1148265,R7.3 - Tecnología blockchain para la gestión segura de redes eléctricas inteligentes,43055147,NA,2020-11-26 09:43:56 UTC,2020-11-26 09:43:56 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS7,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905725,6177139,19612,1148264,"R7.2 - Modelos de alta fidelidad para la predicción a largo plazo de los recursos de energía renovable (viento, irradiación solar, etc.)",1148266,R7.4 - Sistemas inteligentes y robóticos para la reducción de costes de inspección y mantenimiento de instalaciones energéticas,43055141,NA,2020-11-26 09:43:56 UTC,2020-11-26 09:43:56 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS7,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905768,6177176,19612,1148266,R7.4 - Sistemas inteligentes y robóticos para la reducción de costes de inspección y mantenimiento de instalaciones energéticas,1148265,R7.3 - Tecnología blockchain para la gestión segura de redes eléctricas inteligentes,43055140,NA,2020-11-26 09:50:20 UTC,2020-11-26 09:50:20 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS7,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
