Record Type	Skip ID	Appearance ID	Session ID	Wikisurvey ID	Left Choice ID	Left Choice Text	Right Choice ID	Right Choice Text	Prompt ID	Reason	Created at	Updated at	Response Time (s)	Missing Response Time Explanation	Valid	Hashed IP Address	URL Alias	User Agent	Referrer	Widget	Info
Bounce	NA	46448956	6143766	19614	1148276	R9.5 - Incremento de la inversión en I+D pública y privada, generando sistemas de innovación abiertos sostenibles e inclusivos	1148272	R9.1 - IA para generación de soluciones estructurales de ingeniería más eficientes y sostenibles	43055466	NA	2020-10-26 16:24:48 UTC	2020-10-26 16:24:48 UTC	NA		TRUE	a2707e31d6e7862d49313975dff1b17f	ODS9	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15	REFERRER_NOT_FOUND	FALSE	NA
Bounce	NA	46552754	6155252	19614	1148272	R9.1 - IA para generación de soluciones estructurales de ingeniería más eficientes y sostenibles	1148274	R9.3 - Transformación digital de la economía, mediante el desarrollo de la Industria 4.0 y el apoyo a las startup innovadoras	43055467	NA	2020-11-07 19:20:17 UTC	2020-11-07 19:20:17 UTC	NA		TRUE	489c0c69a3f0cba5b250db8796bd19b5	ODS9	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15	REFERRER_NOT_FOUND	FALSE	NA
Bounce	NA	46567966	6157508	19614	1148275	R9.4 - Monitorización inteligente de las emisiones contaminantes en la industria y el transporte	1148274	R9.3 - Transformación digital de la economía, mediante el desarrollo de la Industria 4.0 y el apoyo a las startup innovadoras	43055468	NA	2020-11-10 21:06:29 UTC	2020-11-10 21:06:29 UTC	NA		TRUE	b53150a67d3ff4c1134ab165d3d5ac09	ODS9	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36	REFERRER_NOT_FOUND	FALSE	NA
Bounce	NA	46879524	6174234	19614	1148274	R9.3 - Transformación digital de la economía, mediante el desarrollo de la Industria 4.0 y el apoyo a las startup innovadoras	1148275	R9.4 - Monitorización inteligente de las emisiones contaminantes en la industria y el transporte	43055469	NA	2020-11-24 10:52:50 UTC	2020-11-24 10:52:50 UTC	NA		TRUE	86d86ee1f544a9cd5a6ce3a8dfe05fa0	ODS9	Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0	DIRECT_VISIT	FALSE	NA
Bounce	NA	46879547	6174243	19614	1148275	R9.4 - Monitorización inteligente de las emisiones contaminantes en la industria y el transporte	1148276	R9.5 - Incremento de la inversión en I+D pública y privada, generando sistemas de innovación abiertos sostenibles e inclusivos	43055470	NA	2020-11-24 11:20:53 UTC	2020-11-24 11:20:53 UTC	NA		TRUE	bc6b737f29e4649e7e9f5db9c3de34ce	ODS9	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0	REFERRER_NOT_FOUND	FALSE	NA
Bounce	NA	46905638	6177052	19614	1148275	R9.4 - Monitorización inteligente de las emisiones contaminantes en la industria y el transporte	1148276	R9.5 - Incremento de la inversión en I+D pública y privada, generando sistemas de innovación abiertos sostenibles e inclusivos	43055470	NA	2020-11-26 09:42:49 UTC	2020-11-26 09:42:49 UTC	NA		TRUE	cf6711860e7f5b3790f0b07f9a91dbfc	ODS9	Mozilla/5.0 (TweetmemeBot/4.0; +http://datasift.com/bot.html) Gecko/20100101 Firefox/31.0	DIRECT_VISIT	FALSE	NA
Bounce	NA	46905660	6177074	19614	1148275	R9.4 - Monitorización inteligente de las emisiones contaminantes en la industria y el transporte	1148273	R9.2 - IA como apoyo al diseño de las infraestructuras y redes de comunicación y transporte	43055471	NA	2020-11-26 09:43:04 UTC	2020-11-26 09:43:04 UTC	NA		TRUE	89e5172a8b8bbf1ac056f17c248d6086	ODS9	WordPress/4.8.15; https://medialab.ugr.es	REFERRER_NOT_FOUND	FALSE	NA
Bounce	NA	46905661	6177075	19614	1148275	R9.4 - Monitorización inteligente de las emisiones contaminantes en la industria y el transporte	1148276	R9.5 - Incremento de la inversión en I+D pública y privada, generando sistemas de innovación abiertos sostenibles e inclusivos	43055470	NA	2020-11-26 09:43:04 UTC	2020-11-26 09:43:04 UTC	NA		TRUE	89e5172a8b8bbf1ac056f17c248d6086	ODS9	WordPress/4.8.15; https://medialab.ugr.es	REFERRER_NOT_FOUND	FALSE	NA
Bounce	NA	46905686	6177100	19614	1148276	R9.5 - Incremento de la inversión en I+D pública y privada, generando sistemas de innovación abiertos sostenibles e inclusivos	1148275	R9.4 - Monitorización inteligente de las emisiones contaminantes en la industria y el transporte	43055472	NA	2020-11-26 09:43:22 UTC	2020-11-26 09:43:22 UTC	NA		TRUE	89e5172a8b8bbf1ac056f17c248d6086	ODS9	WordPress/4.8.15; https://medialab.ugr.es	REFERRER_NOT_FOUND	FALSE	NA
Bounce	NA	46905703	6177117	19614	1148275	R9.4 - Monitorización inteligente de las emisiones contaminantes en la industria y el transporte	1148276	R9.5 - Incremento de la inversión en I+D pública y privada, generando sistemas de innovación abiertos sostenibles e inclusivos	43055470	NA	2020-11-26 09:43:31 UTC	2020-11-26 09:43:31 UTC	NA		TRUE	89e5172a8b8bbf1ac056f17c248d6086	ODS9	WordPress/4.8.15; https://medialab.ugr.es	REFERRER_NOT_FOUND	FALSE	NA
